"Method 1"  "Method 2"  "Method 3"  "Method 4"
2.6918      3.51558     4.75017     2.6918
1.64288     2.86212     3.79087     1.64288
1.41843     1.41961     4.3971      1.41843
4.7941      4.98328     8.46945     4.7941
1.5487      0.999558    4.58434     1.5487
2.07057     1.57491     1.50966     2.07057
4.24045     4.24045     2.59603     4.24045
1.33318     2.04154     1.90756     1.33318
1.05113     1.05113     1.1006      1.05113
0.972934    0.776114    0.693156    0.972934
2.53125     2.53125     4.94518     2.53125
1.71146     1.80904     3.82764     1.71146
1.87152     1.87152     3.41128     1.87152
1.98482     1.7162      3.44307     1.98482
0.489124    0.618592    0.551495    0.489124
10.2657     0.931511    3.49261     0.931511
1.81058     0.830538    1.60226     1.81058
2.22728     2.22728     3.0802      2.22728
2.58288     2.49114     2.45148     2.58288
5.30775     4.22863     1.37151     5.30775
2.40664     2.40664     2.10903     2.40664
2.25003     2.64687     3.97829     2.25003
2.99522     2.66896     3.34956     2.99522
0.963568    0.963568    1.16663     0.963568
2.2004      1.98769     2.79025     2.2004
N/A         N/A         2.18459     N/A
2.66392     3.21496     4.0148      2.66392
1.66094     1.66094     3.44899     1.66094
2.6338      2.65685     5.47765     2.6338
1.56143     1.53608     3.65432     1.56143
1.71306     1.46386     3.28264     1.71306
2.84901     2.36134     6.31292     2.84901
1.52533     1.52533     3.99905     1.52533
0.807695    0.834194    1.87933     0.807695
1.09776     1.86215     3.56433     1.09776
2.32495     2.32874     3.78211     2.32495
1.52159     1.20944     3.50901     1.52159
10.774      1.53456     1.41288     1.44748
1.29733     2.00897     6.33177     1.29733
3.12248     2.80306     2.766       3.12248
1.44526     1.65917     1.71913     1.44526
1.92881     2.11666     1.97893     1.92881
3.82005     3.60421     2.1082      3.82005
0.981528    0.981528    1.05256     0.981528
2.1466      1.89061     3.51748     2.1466
1.2116      1.2116      3.18288     1.2116
2.50001     2.47038     4.67787     2.50001
1.46091     1.91785     3.82153     1.46091
2.01426     2.16207     3.19797     2.01426
1.15018     1.15018     2.51852     1.15018
2.62453     2.75261     4.77184     2.62453
1.46974     1.97487     4.15603     1.46974
2.75415     1.67867     3.92204     2.75415
1.69388     1.28532     3.5174      1.69388
2.8034      2.93825     3.94173     2.8034
1.41077     1.80784     4.24851     1.41077
2.24431     2.32014     2.07067     2.24431
11.9667     0.978535    1.51972     0.978535
2.13994     2.08752     4.24738     2.13994
2.37771     2.11993     5.53987     2.37771
1.84238     1.17661     3.56498     1.84238
2.97263     2.78722     2.56848     2.97263
1.13676     1.66866     4.76689     1.13676
1.13835     1.24349     3.49411     1.13835
2.19623     1.53543     3.42144     2.19623
1.0737      1.06522     4.17891     1.0737
5.56353     5.78489     6.27364     5.56353
0.663059    0.510359    1.67943     0.663059
3.26717     1.5403      3.11833     3.26717
2.14165     1.75559     2.4389      2.14165
1.8662      1.40015     3.19038     1.8662
1.60763     1.60763     3.71703     1.60763
1.53857     1.53857     2.44633     1.53857
0.730011    0.730011    2.2219      0.730011
12.6408     1.4339      1.01616     1.27199
1.50776     1.76075     3.25506     1.50776
1.3407      1.29389     3.27249     1.3407
1.9336      2.10452     2.77835     1.9336
1.87557     2.13344     3.04613     1.87557
1.70138     2.38789     4.5632      1.70138
0.942905    1.94234     3.40736     0.942905
1.33429     1.33429     2.42826     1.33429
1.69945     1.93682     4.42145     1.69945
1.3509      0.947356    0.986744    1.3509
0.850433    0.523511    4.65662     0.850433
1.09175     0.592421    1.39627     1.09175
2.1875      2.25672     4.84954     2.1875
3.22592     3.22592     3.73296     2.28285
1.82827     1.82827     5.484       1.82827
0.949999    1.17963     2.38687     0.949999
1.10369     1.10721     1.26982     1.10369
1.40631     1.51373     1.38195     1.40631
2.70174     2.73436     1.68209     2.70174
1.96541     1.96541     2.44539     1.96541
0.605491    0.988151    1.26963     0.605491
1.78502     1.67262     6.57002     1.78502
1.64461     1.38774     3.30909     1.64461
3.10878     3.51464     4.38694     3.10878
1.79927     2.0468      3.73216     1.79927
5.39836     5.21392     0.845662    5.39836
1.28435     1.61499     3.36359     1.28435
1.91115     2.04367     2.70857     1.91115
1.35115     1.06232     3.06183     1.35115
2.0173      1.94789     2.66536     2.0173
0.973172    1.57755     0.795665    0.973172
1.8535      1.8535      2.79525     1.8535
1.21869     1.25029     4.3893      1.21869
4.01855     5.21938     2.33429     4.01855
1.10579     1.10579     4.25984     1.10579
1.2582      0.982088    4.98903     1.2582
2.30712     1.86477     2.76522     2.30712
1.37922     1.3465      2.09692     1.37922
2.50044     0.794679    5.68885     2.50044
2.01051     1.07719     1.6309      2.01051
1.09148     1.87843     2.11555     1.09148
12.7352     1.27886     0.777682    1.2225
8.25593     1.27657     0.614231    1.32056
2.66975     2.55982     3.15257     2.66975
3.28927     3.37366     3.25099     3.28927
1.12372     1.12372     3.1051      1.12372
2.89269     1.28156     3.17984     2.89269
3.0559      2.58717     2.88004     3.0559
2.61326     2.78841     2.17241     2.61326
2.70105     1.18093     6.37485     2.70105
2.36637     2.36637     3.5006      2.36637
1.96839     2.25827     3.18925     1.96839
2.35643     2.26538     2.75576     2.35643
1.22582     1.22582     2.75814     1.22582
2.18672     3.27196     6.62464     2.18672
1.09827     1.06239     2.79671     1.09827
8.5627      0.831255    0.648422    0.831255
8.26731     0.84613     0.569761    0.7469
1.74597     1.90402     3.94147     1.74597
1.23462     1.61029     5.27681     1.23462
0.933977    1.09201     0.462495    0.933977
0.398824    0.736724    0.532466    0.398824
1.90838     1.94843     3.52101     1.90838
1.09503     1.09503     1.06216     1.09503
1.89298     2.16417     1.91806     1.89298
2.12895     1.64939     3.47617     2.12895
2.1392      1.68845     3.81788     2.1392
3.09685     3.09685     4.24786     3.09685
1.59653     1.59653     5.06375     1.59653
3.97335     3.24834     3.00958     3.97335
1.39057     1.39057     0.848224    1.39057
1.77391     1.75536     2.24493     1.77391
1.63556     1.63556     2.90031     1.63556
2.29325     2.29325     5.00612     2.29325
1.65669     0.993202    4.90863     1.65669
1.44319     1.44319     3.51113     1.44319
2.25442     2.77409     3.10523     2.25442
2.46942     2.53566     2.60449     2.46942
1.70219     1.70219     3.85974     1.70219
1.13985     1.13985     4.01284     1.13985
1.77694     1.48931     2.70033     1.77694
1.65223     1.63039     3.63894     1.65223
1.6513      1.56779     3.86494     1.6513
3.38212     3.38212     3.7193      3.38212
2.63207     1.46513     0.497925    2.63207
1.05683     1.05683     0.749548    1.05683
1.37664     1.37664     5.13127     1.37664
0.694104    0.694104    1.56192     0.694104
1.45622     0.833612    3.61457     1.45622
2.79676     1.6069      4.24025     2.79676
2.70631     4.85347     8.97822     2.70631
1.77822     1.24939     4.23452     1.77822
1.17163     1.17163     3.73471     1.17163
2.26896     2.29182     2.60863     2.26896
