Distance  Method_1           Method_2           Method_3           Method_4            Method_5           Method_6            Method_7            Method_8
1         68.27956989247312  61.82795698924731  56.98924731182796  36.02150537634409   47.8494623655914   22.043010752688172  34.946236559139784  7.880357607395794
10        87.09677419354838  88.17204301075269  75.26881720430107  62.365591397849464  73.11827956989248  50.0                56.451612903225815  28.495564484181816
20        88.70967741935483  89.78494623655914  79.03225806451613  73.65591397849462   80.64516129032258  54.83870967741935   60.215053763440864  39.93041154878008
30        90.86021505376344  92.47311827956989  82.79569892473118  76.88172043010752   84.40860215053763  59.67741935483871   65.59139784946237   48.05059377472827
40        92.47311827956989  93.54838709677419  83.33333333333334  80.64516129032258   86.02150537634408  62.903225806451616  68.81720430107528   54.19962109353844
50        93.54838709677419  95.16129032258065  84.40860215053763  82.79569892473118   87.63440860215054  68.27956989247312   69.89247311827957   59.0215786576324
60        94.6236559139785   95.6989247311828   84.94623655913979  83.33333333333334   87.63440860215054  69.89247311827957   71.50537634408603   62.90291748113902
70        94.6236559139785   96.23655913978494  86.55913978494624  84.94623655913979   89.24731182795699  72.04301075268818   73.11827956989248   66.09441271809447
80        95.16129032258065  97.31182795698925  87.63440860215054  84.94623655913979   90.86021505376344  75.26881720430107   75.26881720430107   68.76607265209508
90        95.16129032258065  97.31182795698925  88.70967741935483  86.02150537634408   90.86021505376344  76.34408602150538   75.80645161290323   71.03683091187641
100       95.16129032258065  97.31182795698925  88.70967741935483  86.02150537634408   91.93548387096774  79.03225806451613   76.34408602150538   72.9920517643125
110       95.16129032258065  97.31182795698925  89.24731182795699  87.63440860215054   91.93548387096774  80.10752688172043   76.88172043010752   74.69438712585624
120       95.6989247311828   97.31182795698925  90.86021505376344  87.63440860215054   91.93548387096774  80.10752688172043   77.41935483870968   76.1907498320481
130       96.7741935483871   97.31182795698925  91.39784946236558  89.24731182795699   92.47311827956989  80.64516129032258   77.95698924731182   77.51691539517107
140       97.31182795698925  97.31182795698925  91.93548387096774  89.78494623655914   92.47311827956989  81.72043010752688   78.49462365591397   78.70062818648091
150       97.31182795698925  97.31182795698925  91.93548387096774  90.86021505376344   93.01075268817203  82.79569892473118   79.03225806451613   79.76373985131097
160       97.84946236559139  97.31182795698925  91.93548387096774  91.39784946236558   93.54838709677419  84.40860215053763   80.64516129032258   80.72370771496435
170       97.84946236559139  97.31182795698925  92.47311827956989  91.93548387096774   93.54838709677419  85.48387096774194   81.72043010752688   81.59466181567403
180       97.84946236559139  97.31182795698925  93.01075268817203  91.93548387096774   93.54838709677419  87.09677419354838   83.87096774193549   82.38817623616369
190       97.84946236559139  97.31182795698925  93.01075268817203  91.93548387096774   93.54838709677419  87.09677419354838   83.87096774193549   83.11383463053477
200       97.84946236559139  97.31182795698925  93.54838709677419  93.01075268817203   94.08602150537635  87.63440860215054   84.94623655913979   83.77965051684066
210       97.84946236559139  97.31182795698925  93.54838709677419  93.01075268817203   94.6236559139785   88.17204301075269   86.55913978494624   84.3923837604986
220       97.84946236559139  97.84946236559139  93.54838709677419  93.01075268817203   94.6236559139785   89.78494623655914   87.09677419354838   84.95778195948988
230       97.84946236559139  97.84946236559139  94.08602150537635  93.54838709677419   94.6236559139785   89.78494623655914   87.09677419354838   85.48076686588705
240       97.84946236559139  98.38709677419355  94.08602150537635  93.54838709677419   94.6236559139785   90.32258064516128   87.63440860215054   85.96558011063163
250       97.84946236559139  98.38709677419355  94.08602150537635  94.08602150537635   94.6236559139785   90.32258064516128   88.17204301075269   86.41589843449172
